おおきい [ookii]; gros
ちいさい[chiisai]; petit
たかい [takai]; cher, grand, haut
やすい [yasui]; bon marché
あたらしい [atarashii]; neuf, nouveau, frais
いい [ii]; bon
わるい [warui]; mauvais
むずかしい [muzukashii]; difficile, compliqué
やさしい [yasashii]; facile
とおい [tooi]; loin, éloigné
ちかい [chikai]; près, à côté
おいしい [oishii]; savoureux, bon (aliment)
まずい [mazui]; mauvais (aliment)
いそがしい [isogashii];occupé
あつい [atsui]; chaud, épais
さむい [samui]; froid
つめたい [tsumetai]; froid (objet)
あたたかい [atatakai]; chaud
すずしい [suzushii] ; frais
おもしろい [omoshiroi]; intéressant, amusant
つまらない [tsumaranai]; ennuyeux
せまい [semai]; étroit
ひろい [hiroi]; large, spatieux
ひくい [hikui]; bas
ながい [nagai]; long
おもい [omoi]; lourd
かるい [karui]; lumineux
つよい [tsuyoi]; fort
よわい [yowai]; faible
くらい [kurai]; sombre
あかるい [akarui]; intelligent, joyeux
かわいい [kawaii]; mignon, joli
あまい [amai]; doux
からい [karai]; épicé
うすい [usui]; fin (épaisseur), faible
ふとい [futoi]; épais
ほそい [hosoi]; fin (épaisseur)
わかい [wakai];jeune
すくない [sukunai]; un peu
おおい [ooi]; beaucoup,plusieurs
いたい [itai]; douloureux
きたない [kitanai];sale
あぶない [abunai]; dangereux
うるさい [urusai]; bruyant
たのしい [tanoshii]; plaisant
あかい [akai]; rouge
あおい [aoi]; bleu
きいろい [kiiroi]; jaune
くろい [kuroi]; noir
しろい [shiroi]; blanc
ちゃいろい [chairoi]; marron
まるい [marui]; rond, circulaire
きれい [kirei]; beau, propre
ゆうめい [yûmei]; célèbre
ていにえ [teinei]; poli
すき [suki]; aimé, favoris
きらい [kirai]; détesté
しずか [shizuka]; calme, tranquille
ひま [hima]; libre
にぎやか [nigiyaka]; animé
べんり [benri]; pratique
げんき [genki]; en forme
いろい [iroiro];divers
だいじょうふう [daijôbu]; ok
じょうぶ [jôbu]; en bonne santé
たいへん [taihen]; difficile
らく [raku]; facile, confortable
いや [iya]; méchant, dégoutant
たいせつ [taisetsu]; important
じょうず [jôzu]; doué
へた [heta]; maladroit
きえん [kihen]; dangereux
しんぱい [shinpai]; inquiet
じゆう [juyû]; libre
じゅうぶん [jûbun]; assez
だいすき [daisuki]; aimé (très fort)
てきとう [tekitô]; adapté
まじめ [majime]; sérieux
まっすぐ [massugu]; droit
むり [muri]; impossible
りっぱ [rippa]; excellent
