あいます [aimasu]; rencontrer
あけます [akemasu]; ouvrir
あげます [agemasu]; donner
あそびます [asobimasu]; s'amuser
あります [arimasu]; avoir, être (objets ou animaux)
あるきます [arukimasu]; marcher
いきます [ikimasu]; aller
いただきます [itadakimasu]; manger
います [imasu]; être
うたいます [utaimasu]; chanter
うります [urimasu]; vendre
うんてんします [untenshimasu]; conduire
えらびます [erabimasu]; choisir
おきます [okimasu]; se lever
おくります [okurimasu]; envoyer
おこります [okorimasu]; s'ennerver
おしえます [oshiemasu];enseigner, apprendre (à qqun)
おぼえます [oboemasu]; mémoriser
およぎます [oyogimasu]; nager
おります [orimasu]; descendre
おわります [owarimasu]; finir, terminer
かいぎをします [kaigi o shimasu]; avoir une réunion
かいます [kaimasu]; acheter
かいものします [kaimonoshimasu]; faire des courses
かえります [kaerimasu]; rentrer (chez soi)
かかります [kakarimasu]; prendre (temps ou argent)
かきます [kakimasu]; écrire
かします [kashimasu]; prêter
かちます [kachimasu]; gagner
かります [karimasu]; emprunter
がんばります [ganbarimasu]; faire de son mieux
ききます [kikimasu]; écouter
きます [kimasu]; venir
きります [kirimasu]; couper
けします [keshimasu]; éteindre
コピをします [kopi o shimasu]; photocopier
こみます [komimasu]; être encombré
さがします [sagashimasu]; chercher
さんぽします [sanposhimasu]; se promener, se ballader
します [shimasu]; faire
しめます [shimemasu]; fermer
しゃしんをとります [shashin o torimasu]; prendre une photo
しります [shirimasu]; savoir
すみます [sumimasu]; vivre
すわります [suwarimasu]; s'asseoir
せんたくします [sentakushimasu]; laver
そじします [sojishimasu]; nettoyer
すいまます [suimasu]; fumer
たべます [tabemasu]; manger
つかいます [tsukaimasu]; utiliser
つかれます [tsukaremasu]; être fatigué
つきます [tsukimasu]; arriver
つくります [tsukurimasu]; fabriquer
つけます [tsukemasu]; allumer
できます [dekimasu]; pouvoir
でます [demasu]; partir
でんわをします [denwa o shimasu]; téléphoner
とどけます [todokemasu]; livrer
とめます [tomemasu]; se garer
なきます [nakimasu]; pleurer
のみます [nomimasu]; boire
のります [norimasu]; monter
のんびりします [nonbirishimasu]; se relaxer
はいります [hairimasu]; entrer
はなします [hanashimasu]; discuter
はらいます [haraimasu]; payer
びっくりします [bikkurishimasu]; être surpris
べんきょうします [benkyoushimasu]; étudier
まがります [magarimasu]; tourner
まちがえます [machigaemasu]; se tromper
まちます [machimasu]; attendre
みせます [misemasu]; montrer
みます [mimasu]; voir
もってきます [motte kimasu]; apporter
もらいます [moraimasu]; recevoir
やすみます [yasumimasu]; se reposer, être en vancances
よみます [yomimasu]; lire
よやくします [yoyakushimasu]; réserver
りょりをします [ryori o shimasu]; cuisiner
りょこをします [ryoko o shimasu]; voyager
わかります [wakarimasu]; comprendre
わすれます [wasuremasu]; oublier
わらいます [waraimasu]; rire
